index,Maximum Installs
1160,98818
1162,52
1163,751
1164,116
1165,912901
1166,3137
1167,110641
1169,376
1170,42
1171,2942
1172,1598660
1173,3974
1174,33731
1175,296
1176,1193
1177,21994
1178,19
1179,3530
1180,1
1181,80
1182,4729
1183,8794
1184,124251
1185,8
1186,4400
1187,113422
1189,261
1191,219431
1192,343
1193,230527
1194,4933
1195,540
1196,3350
1197,76181
1198,2859
1199,1712
1200,1946
1201,563
1202,3955
1203,387
1204,180
1205,9533
1206,391
1207,282
1208,65
1209,7504
1210,86958
1211,54
1212,1596
1213,4795
1214,58
1215,27270
1216,69310
1217,219828
1218,482
1219,6
1220,109
1221,22226
1222,5596
1223,76895
1224,25
1225,76895
1226,521
1227,752
1228,469
1229,91
1230,109
1232,18
1233,1117
1234,874337
1235,22157
1236,4153028
1237,26
1238,406
1239,12
1240,33
1241,13099
1242,133
1243,5349
1244,951196
1245,15576
1246,367
1247,12481
1248,20
1249,21
1250,10
1251,23
1252,6
1253,1303
1254,211465
1255,388
1256,46
1257,12621
1260,52
1261,18390
1262,865
1263,99
1264,42
1265,6356
1267,268
1268,0
1269,368
1270,148
1271,1440
1272,19
1273,232
1274,3659
1275,11165
1276,23
1277,51
1278,8
1279,15769
1280,645
1281,167
1282,18750
1283,2219
1284,457276
1285,15698
1287,312260
1288,109
1289,2469
1290,242
1291,6038
1292,304
1293,70
1294,4765
1295,25336
1296,42904
1297,633
1298,233
1299,204809
1300,113233
1301,9129
1302,3
1303,149
1304,26
1306,381
1307,89
1308,1203
1309,13874
1310,39
1311,424
1312,82
1313,7
1314,219
1315,20
1316,23423
1317,101266
1318,46745
1319,88079
1320,442
1321,571488
1323,3743
1324,9283
1325,3690
1326,12254
1327,160181
1328,1
1329,156
1330,32231
1331,364
1332,9
1333,353
1334,1627
1335,1132
1336,3888
1337,559
1338,128
1339,220
1340,3134
1341,24
1345,587
1346,27
1347,31
1348,91262
1349,4
1351,1028
1352,1503
1353,62
1355,30
1356,11328
1357,9
1358,229
1359,94
1361,51
1362,1626
1363,10
1364,6
1365,9727
1366,2990
1367,385
1368,7
1369,622589
1370,62731
1372,12
1373,615
1374,1095
1375,137287
1376,528
1377,2230
1378,22
1379,10
1380,73
1381,183
1382,3906
1383,3019
1384,2
1385,88428
1386,6287
1387,55
1388,4
1389,4
1390,22843
1392,115
1393,228
1394,666
1396,1509
1397,663133
1398,8434
1399,242
1400,15491
1401,952
1402,292
1404,331
1405,852
1406,17
1407,15
1408,142
1409,133
1410,28158
1411,151
1412,64
1414,24223
1415,449
1416,100038
1417,118
1418,7383
1420,1719
1421,143
1423,20827
1424,62485
1425,5804
1426,364
1427,1720
1428,581
1429,135068
1430,297
1431,868
1432,184529
1433,527
1434,4663
1435,107
1436,7063
1437,892
1438,222
1440,35
1441,16
1442,2906
1443,31517
1444,1109
1446,2380
1447,944
1448,15124
1449,174881
1450,9819
1451,586
1452,65
1453,2035
1454,45905
1455,55
1456,62081
1457,14
1458,7048
1459,87
1460,119
1461,1615
1462,26029
1463,3384
1464,405
1465,165
1466,8
1467,10002
1468,269
1469,25
1470,2125
1471,65141
1472,240
1473,10
1474,537
1475,152
1476,1118
1477,208
1478,37
1479,1145
1480,33
1481,93
1482,20
1483,153
1484,27
1485,172366
1486,82
1487,17
1488,4667
1489,191
1490,86
1491,17490
1492,52
1493,14936
1494,18
1495,63
1496,96
1497,630
1498,33
1499,16
1500,3783
1501,11
1502,27
1503,7099
1505,2506
1506,212
1507,119
1508,39
1509,84737
1510,8
1511,41489
1512,12506
1513,45
1514,148
1515,54
1516,1922
1517,132
1518,153
1519,287
1520,27267
1521,2648
1522,26
1524,2998
1525,341257
1526,843
1527,24
1528,110
1529,389
1530,130
1531,2161
1534,40
1535,12
1536,134320
1537,837
1538,5292
1539,119
1540,12
1541,246
1542,157044
1543,129
1544,218414
1545,319
1546,315
1547,52
1548,4043
1549,561
1550,59
1551,3135
1552,2274
1553,245
1555,49152
1557,52
1558,109
1559,22084
1560,36
1561,77
1562,1
1563,5272
1564,12105
1565,627
1566,916
1568,555552
1569,481379
1570,1508
1571,239
1572,191
1573,81
1575,8
1577,218414
1578,237
1579,58594
1580,4240
1581,129
1582,7633
1583,26
1584,9811705
1585,31
1586,152
1587,133
1589,1869
1590,5
1592,183
1593,17031
1594,8472
1595,6715
1596,26222
1598,1723
1599,159
1600,4062
1601,150
1602,9603239
1603,5
1604,1128
1605,164022
1606,1341
1607,12486
1608,3230
1609,2581
1610,320
1611,9
1612,100
1613,32096
1614,503
1615,240
1616,17
1617,4105
1618,1572
1619,135068
1620,4350621
1621,181
1623,113
1624,4
1625,78
1626,2173
1627,21173
1628,599
1629,2430
1630,148
1631,374
1632,56
1633,107
1634,1527
1635,83
1636,61
1637,3273
1638,297
1641,1366
1642,503
1643,775
1644,129
1645,3066
1646,1122
1647,17096
1648,18
1649,18866
1650,47
1651,20
1652,2
1653,5841
1654,936842
1655,36823
1656,764
1657,67
1658,0
1659,13099
1660,475
1661,45
1662,933
1663,1869
1664,920106
1665,364
1666,15428
1667,305
1668,192993
1669,1274
1670,78
1671,1038
1672,1
1673,31418
1674,81
1675,203
1677,1133
1678,1723
1679,124
1680,15
1681,567
1682,102
1683,2016
1684,1303
1685,274
1686,53
1687,255
1688,46
1689,834
1690,824
1691,929
1692,31
1693,2
1694,898
1695,8
1696,1036
1697,271
1698,284
1699,16
1700,936
1701,50
1702,2656
1703,0
1704,1922
1705,1390
1706,991
1707,4615
1708,95
1709,254
1710,75
1711,378
1712,631
1713,111419
1714,26277
1715,143
1716,834
1717,101266
1718,0
1719,1763
1720,20927
1721,936
1722,482
1724,196
1725,3735
1726,2
1727,8649
1728,832
1729,65
1730,525
1731,4
1732,71749
1733,144
1734,13
1736,10529
1737,43
1738,340
1739,156
1740,40
1741,202
1742,2383
1743,386
1744,2406
1745,14668
1746,299764
1747,18082
1748,103
1749,108
1750,3686
1751,91978
1752,104
1753,108
1754,1361
1755,467
1756,13
1757,1065
1758,992
1759,81
1760,1128
1761,104
1762,2178
1763,96
1764,8656
1765,278
1766,28
1767,9908
1769,139
1770,67
1771,334
1772,12486
1773,30
1774,319
1775,108
1776,1395831
1777,71
1778,78
1779,437
1781,694
1782,104
1783,23147
1784,573695
1785,0
1786,1204
1787,58
1788,45086
1790,7773
1791,3122035
1792,16359
1793,175
1794,2218805
1795,5558
1796,14039
1797,86958
1798,526
1799,2
1800,9
1801,7390
1802,2043
1803,575
1804,985
1805,5784
1806,5032
1807,374
1808,3
1809,1360
1810,5586
1812,15
1813,114
1814,501
1815,1279368
1817,819
1818,34
1819,16227
1820,483852
1821,58808
1822,37
1823,26
1824,297
1825,5517
1826,40
1827,6803
1828,129
1829,264
1830,3188
1831,187
1832,22290
1833,599690
1835,210
1836,2659340
1838,124
1839,181
1840,303
1841,29
1842,17768802
1843,1295
1844,503
1845,3143689
1846,3736
1847,2103
1848,790
1849,192
1850,62485
1851,55310
1852,2
1853,7698
1854,12
1855,1578
1856,39
1857,88
1858,5
1859,856
1860,3855
1861,4573
1862,35
1864,2492
1865,6356
1866,430
1867,776
1868,47
1869,384
1870,45086
1872,405
1873,11185
1874,92
1875,3
1876,217699
1877,7002590
1878,575
1879,268
1880,510
1881,51
1882,5161
1883,34455
1884,1264
1885,12
1887,71
1888,45
1889,30397
1890,140
1891,890
1892,1872
1893,2096
1894,128
1895,287
1896,137
1897,6803
1898,9
1899,1958
1900,103
1901,10814
1902,2647
1903,319
1904,59
1905,391
1906,5634
1907,3
1908,3853
1909,57
1910,147
1911,5346
1912,2698
1913,73
1914,14773
1915,2
1916,20467
1917,3
1918,1301
1919,15
1920,3615
1921,574
1923,6210
1924,2430
1925,462544
1926,3
1927,127
1928,765
1929,190584
1930,4948
1931,33550
1932,9
1934,626
1935,1
1936,477
1937,66884
1939,113
1940,217
1941,729
1942,4858
1943,5172
1944,89
1945,599
1946,1808
1947,11816
1948,656
1949,74517
1950,465
1951,1038
1952,12892286
1953,5
1954,15
1955,7529
1956,644
1957,4110
1958,337
1959,14172
1960,2117
1961,105650
1962,1795
1963,1630
1964,265
1965,247286
1966,193
1967,326
1968,1360
1969,104299
1970,81
