index,Maximum Installs
1508,93
1509,846
1510,949
1511,4
1512,234
1513,97
1514,124633
1515,3972
1516,1717
1517,306
1518,49
1519,3797
1520,211
1521,5
1522,108
1524,333
1525,378
1526,262
1527,3968
1528,203
1529,47
1530,3
1531,32
1532,13
1533,109
1534,1059
1535,11
1536,1
1537,966
1538,3712
1539,50
1540,126
1541,707
1542,6372
1543,1810152
1544,117
1545,1329
1546,3852
1547,7051
1548,2948
1549,751
1550,164
1551,57598
1552,3752
1553,3394
1554,31
1555,6795221
1556,233
1557,4
1558,69819
1559,755
1560,512
1561,1837
1562,652
1563,7638
1564,56213
1565,1262
1566,338
1567,105120
1568,15553
1569,12533
1570,143
1571,239
1572,121
1573,439
1574,7819
1575,52
1576,109
1577,32
1578,259
1579,169
1580,1329
1581,231
1582,106
1583,116
1584,56
1585,1273
1586,313
1587,40937
1589,570089
1590,78161
1591,381358
1593,3965
1594,590
1595,7406
1596,7231
1598,1144614
1599,36
1600,31
1601,1130
1602,8
1603,165
1604,510677
1605,335
1606,11
1607,167
1608,648
1610,6028
1611,28723
1612,37723
1613,5888
1614,10473
1615,59
1616,50
1617,2947
1618,6
1619,118
1620,1175
1621,15
1624,3
1625,2899
1626,20683
1627,1661
1628,575
1630,27
1631,74039
1632,115030
1633,49254
1634,1644
1635,392
1636,346
1637,28
1638,119
1639,170
1640,685
1641,19134
1642,885
1643,9894
1644,27
1645,94
1646,8255
1647,3725
1648,44
1651,148
1652,602
1653,21983
1654,3770
1655,28
1656,51
1657,19815
1658,77
1659,1210
1660,222167
1661,27
1662,121
1663,157
1664,75
1665,37
1666,6639
1667,2061
1668,76
1669,815
1670,3320
1671,679
1672,62
1673,452
1674,123616
1675,49264
1677,102
1678,30
1679,87
1680,2605
1681,3171
1683,108
1685,1571
1686,614
1687,71
1689,431
1691,3423
1692,45
1693,11
1694,679225
1695,2824
1696,4
1697,162
1698,233762
1699,35
1700,356
1701,1161
1702,232
1703,22231
1704,1205
1705,29
1706,11405
1707,778
1708,832
1709,32356
1710,3139
1711,2780
1712,114
1713,17368
1714,423
1715,12
1716,4559
1717,232
1718,1817
1719,130
1720,1241
1721,75
1722,316
1723,292
1724,4442
1725,11319
1727,33
1729,359
1730,376
1731,7
1732,20161
1733,307
1734,290
1735,81
1736,5498
1737,127
1738,113
1739,3536
1740,33
1741,64551
1742,2317
1744,34
1745,35
1746,2475
1747,2145
1748,16
1749,383773
1750,47628
1751,2
1752,237
1753,702
1754,2
1755,9520
1756,28
1757,77
1758,5930
1759,180
1760,288
1761,617
1762,20840
1763,3110
1764,5193
1765,73
1766,34
1767,1471
1768,170
1769,199702
1770,146
1771,101
1772,26882
1773,12026
1774,889
1775,33
1776,1374
1777,5349
1778,5776
1779,1123
1780,47
1781,5813
1782,6
1783,486
1784,27862
1785,1276
1786,11590
1787,1435
1788,766
1789,190
1790,26514
1791,173
1792,90615
1793,2803
1794,40
1795,48
1796,1178
1797,43432
1798,6807
1799,52
1800,3804
1802,1547
1803,2009
1804,22268
1805,1209397
1806,1062
1808,36220
1809,11200
1810,8
1811,82572
1812,61030
1813,28
1814,140
1815,37
1817,30
1818,165
1819,5293
1820,346
1821,232
1822,29
1823,112488
1824,2886
1825,14056
1826,4011
1827,76302
1828,50357
1829,145
1830,246
1831,59
1832,135070
1833,257667
1834,5
1835,27501
1836,340
1837,13
1838,8291
1839,91328
1840,2672
1841,547
1842,6046
1843,163
1844,532
1845,83
1846,12845
1847,644
1848,202
1849,776
1850,32
1851,38203
1852,2182
1853,579113
1854,180
1855,390
1856,27661
1857,175
1858,11
1859,11
1860,1083
1861,158113
1862,4
1863,202059
1864,2754
1865,1047248
1866,5981
1867,11
1868,534
1869,776
1870,23280
1871,1716356
1872,81
1873,13084
1874,8
1875,469
1876,3953
1877,23384
1878,963
1879,525
1880,14
1881,8478
1882,2
1883,6444
1884,188923
1885,214943
1886,5099
1889,114167
1890,5691
1891,21
1892,405
1893,7
1894,11
1895,1152267
1896,345
1898,830
1899,96332
1900,17002
1902,41
1903,94
1904,127
1906,99
1907,105378
1908,1212
1909,456
1911,105
1913,154
1914,62
1915,36732
1916,13
1917,17
1918,81053
1919,19791
1920,111
1921,16512
1922,1886
1923,5761
1925,107395
1926,428
1927,20391103
1929,2
1930,7
1931,137062
1932,3
1933,1341
1934,6689
1935,25
1936,436
1937,11
1938,40
1939,371
1940,191
1941,97374
1942,4
1943,36
1944,68631
1945,15
1946,63
1947,323869
1948,10066
1949,131835
1950,558414
1951,982
1952,177367
1953,68
1954,198
1955,425278
1956,60
1957,46
1958,6580
1959,1394
1960,4607
1961,11
1962,132
1963,213
1964,701708
1965,23
1966,498
1967,106
1969,579
1970,56
1971,355
1972,985
1973,28953
1974,246
1975,6147
1976,394
1977,2873573
1978,216
1979,5123
1981,55
1982,191
1984,37
1985,8
1986,367
1987,44
1988,1768
1989,5310
1990,397
1991,124
1992,1076
1993,344641
1994,499
1995,5234
1996,176
1997,1392
1998,635
1999,5114
2000,29
2001,29
2002,1078089
2003,2283
2004,26438
2005,16559
2006,70
2007,1623
2008,699
2009,346
2010,192
2011,1582
2012,238
2013,4529
2015,71
2016,4830
2017,553
2018,9452
2019,245
2020,14
2021,6277
2022,30518
2023,2
2024,11745
2025,27822
2026,88
2027,1745
2028,5764
2029,3562
2030,308
2031,1526
2032,21382
2033,75
2035,37
2036,8325
2037,98
2038,26
2039,781
2041,29486
2042,2916
2043,298
2044,540
2045,391
2046,7
2047,648
2048,87
2049,110
2050,28
2051,277
2052,11404
2053,1926
2054,859260
2055,81
2056,87
2057,101
2058,164
2059,11438844
2060,201
2061,7418
2062,106
2063,79060
2064,73115
