,Installs
1679,13.0
1680,2.0
1681,2.0
1683,7.0
1685,2.0
1686,16.0
1687,13.0
1689,7.0
1691,2.0
1692,4.0
1693,4.0
1694,17.0
1695,2.0
1696,1.0
1697,7.0
1698,8.0
1699,4.0
1700,7.0
1701,2.0
1702,7.0
1703,5.0
1704,2.0
1705,4.0
1706,5.0
1707,16.0
1708,16.0
1709,5.0
1710,2.0
1711,2.0
1712,7.0
1713,5.0
1714,7.0
1715,4.0
1716,2.0
1717,7.0
1718,2.0
1719,7.0
1720,2.0
1721,13.0
1722,7.0
1723,7.0
1724,2.0
1725,5.0
1727,4.0
1729,7.0
1730,7.0
1731,10.0
1732,5.0
1733,7.0
1734,7.0
1735,13.0
1736,11.0
1737,7.0
1738,7.0
1739,2.0
1740,4.0
1741,14.0
1742,2.0
1744,4.0
1745,4.0
1746,2.0
1747,2.0
1748,4.0
1749,8.0
1750,5.0
1751,1.0
1752,7.0
1753,16.0
1754,1.0
1755,11.0
1756,4.0
1757,13.0
1758,11.0
1759,7.0
1760,7.0
1761,16.0
1762,5.0
1763,2.0
1764,11.0
1765,13.0
1766,4.0
1767,2.0
1768,7.0
1769,8.0
1770,7.0
1771,7.0
1772,5.0
1773,5.0
1774,16.0
1775,4.0
1776,2.0
1777,11.0
1778,11.0
1779,2.0
1780,4.0
1781,11.0
1782,10.0
1783,7.0
1784,5.0
1785,2.0
1786,5.0
1787,2.0
1788,16.0
1789,7.0
1790,5.0
1791,7.0
1792,14.0
1793,2.0
1794,4.0
1795,4.0
1796,2.0
1797,5.0
1798,11.0
1799,13.0
1800,2.0
1802,2.0
1803,2.0
1804,5.0
1805,3.0
1806,2.0
1808,5.0
1809,5.0
1810,10.0
1811,14.0
1812,14.0
1813,4.0
1814,7.0
1815,4.0
1817,4.0
1818,7.0
1819,11.0
1820,7.0
1821,7.0
1822,4.0
1823,8.0
1824,2.0
1825,5.0
1826,2.0
1827,14.0
1828,14.0
1829,7.0
1830,7.0
1831,13.0
1832,8.0
1833,8.0
1834,10.0
1835,5.0
1836,7.0
1837,4.0
1838,11.0
1839,14.0
